,st_time,t10s,t20m
464,2016-01-01 07:45:18,2,2
465,2016-01-01 07:46:18,2,2
466,2016-01-01 07:47:18,2,2
467,2016-01-01 07:48:18,2,2
468,2016-01-01 07:49:18,2,2
469,2016-01-01 07:50:18,2,2
470,2016-01-01 07:51:18,2,2
471,2016-01-01 07:52:18,1,2
472,2016-01-01 07:53:18,2,2
473,2016-01-01 07:54:18,1,2
474,2016-01-01 07:55:18,1,2
475,2016-01-01 07:56:18,2,2
476,2016-01-01 07:57:18,2,2
477,2016-01-01 07:58:18,2,2
478,2016-01-01 07:59:18,2,2
479,2016-01-01 08:00:17,1,2
480,2016-01-01 08:01:17,2,2
481,2016-01-01 08:02:17,2,2
482,2016-01-01 08:03:17,2,2
483,2016-01-01 08:04:18,1,2
484,2016-01-01 08:05:18,2,2
485,2016-01-01 08:06:18,1,2
486,2016-01-01 08:07:18,2,2
487,2016-01-01 08:08:18,1,2
488,2016-01-01 08:09:18,4,2
489,2016-01-01 08:10:18,2,2
490,2016-01-01 08:11:18,1,2
491,2016-01-01 08:12:18,1,2
492,2016-01-01 08:13:18,1,2
493,2016-01-01 08:14:18,2,2
494,2016-01-01 08:15:18,2,2
495,2016-01-01 08:16:18,2,2
496,2016-01-01 08:17:18,2,2
497,2016-01-01 08:18:18,2,2
498,2016-01-01 08:19:18,2,2
499,2016-01-01 08:20:18,1,2
500,2016-01-01 08:21:18,2,2
501,2016-01-01 08:22:18,1,2
502,2016-01-01 08:23:18,2,2
503,2016-01-01 08:24:18,2,2
504,2016-01-01 08:25:18,1,2
505,2016-01-01 08:26:18,2,2
506,2016-01-01 08:27:18,1,2
507,2016-01-01 08:28:18,2,2
508,2016-01-01 08:29:18,1,2
509,2016-01-01 08:30:18,2,2
510,2016-01-01 08:31:18,2,2
511,2016-01-01 08:32:18,2,2
512,2016-01-01 08:33:19,2,2
513,2016-01-01 08:34:19,2,2
514,2016-01-01 08:35:19,2,2
515,2016-01-01 08:36:19,2,2
516,2016-01-01 08:37:19,2,2
517,2016-01-01 08:38:19,2,2
518,2016-01-01 08:39:19,2,2
519,2016-01-01 08:40:19,2,2
520,2016-01-01 08:41:19,5,2
521,2016-01-01 08:42:19,2,2
522,2016-01-01 08:43:19,2,2
523,2016-01-01 08:44:19,1,2
524,2016-01-01 08:45:19,2,2
525,2016-01-01 08:46:19,2,2
526,2016-01-01 08:47:19,2,2
527,2016-01-01 08:48:19,2,2
528,2016-01-01 08:49:18,2,2
529,2016-01-01 08:50:18,2,2
530,2016-01-01 08:51:18,1,2
531,2016-01-01 08:52:18,1,2
532,2016-01-01 08:53:18,2,2
533,2016-01-01 08:54:19,2,2
534,2016-01-01 08:55:19,2,2
535,2016-01-01 08:56:19,2,2
536,2016-01-01 08:57:19,2,2
537,2016-01-01 08:58:19,1,2
538,2016-01-01 08:59:19,1,2
539,2016-01-01 09:00:19,2,2
540,2016-01-01 09:01:19,1,2
541,2016-01-01 09:02:19,2,2
542,2016-01-01 09:03:19,1,2
543,2016-01-01 09:04:19,1,2
544,2016-01-01 09:05:19,2,2
545,2016-01-01 09:06:19,2,2
546,2016-01-01 09:07:19,2,2
547,2016-01-01 09:08:19,2,2
548,2016-01-01 09:09:19,1,2
549,2016-01-01 09:10:19,1,2
550,2016-01-01 09:11:19,2,2
551,2016-01-01 09:12:19,2,2
552,2016-01-01 09:13:19,2,2
553,2016-01-01 09:14:20,2,2
554,2016-01-01 09:15:20,2,2
555,2016-01-01 09:16:20,2,2
556,2016-01-01 09:17:20,1,2
557,2016-01-01 09:18:20,2,2
558,2016-01-01 09:19:20,2,2
559,2016-01-01 09:20:20,2,2
560,2016-01-01 09:21:20,1,2
561,2016-01-01 09:22:20,2,2
562,2016-01-01 09:23:20,1,2
563,2016-01-01 09:24:20,4,2
564,2016-01-01 09:25:20,1,2
565,2016-01-01 09:26:20,2,2
566,2016-01-01 09:27:20,1,2
567,2016-01-01 09:28:20,2,2
568,2016-01-01 09:29:20,2,2
569,2016-01-01 09:30:20,2,2
570,2016-01-01 09:31:20,2,2
571,2016-01-01 09:32:20,1,2
572,2016-01-01 09:33:20,1,2
573,2016-01-01 09:34:20,2,2
574,2016-01-01 09:35:20,2,2
575,2016-01-01 09:36:20,2,2
576,2016-01-01 09:37:20,2,2
577,2016-01-01 09:38:20,2,2
578,2016-01-01 09:39:20,2,2
579,2016-01-01 09:40:20,1,2
580,2016-01-01 09:41:20,2,2
581,2016-01-01 09:42:20,2,2
582,2016-01-01 09:43:20,2,2
583,2016-01-01 09:44:20,2,2
584,2016-01-01 09:45:20,2,2
585,2016-01-01 09:46:19,2,2
586,2016-01-01 09:47:18,3,2
587,2016-01-01 09:48:18,1,2
588,2016-01-01 09:49:18,2,2
589,2016-01-01 09:50:18,2,2
590,2016-01-01 09:51:18,2,2
591,2016-01-01 09:52:18,2,2
592,2016-01-01 09:53:18,1,2
593,2016-01-01 09:54:18,2,2
594,2016-01-01 09:55:18,2,2
595,2016-01-01 09:56:18,3,2
596,2016-01-01 09:57:18,2,2
597,2016-01-01 09:58:18,2,2
598,2016-01-01 09:59:18,2,2
599,2016-01-01 10:00:18,2,2
600,2016-01-01 10:01:18,1,2
601,2016-01-01 10:02:18,1,2
602,2016-01-01 10:03:18,2,2
603,2016-01-01 10:04:18,2,2
604,2016-01-01 10:05:18,2,2
605,2016-01-01 10:06:18,2,2
606,2016-01-01 10:07:18,2,2
607,2016-01-01 10:08:18,2,2
608,2016-01-01 10:09:18,2,2
609,2016-01-01 10:10:18,1,2
610,2016-01-01 10:11:18,2,2
611,2016-01-01 10:12:18,2,2
612,2016-01-01 10:13:18,2,2
613,2016-01-01 10:14:18,2,2
614,2016-01-01 10:15:18,1,2
615,2016-01-01 10:16:18,2,2
616,2016-01-01 10:17:18,2,2
617,2016-01-01 10:18:18,1,2
618,2016-01-01 10:19:18,1,2
619,2016-01-01 10:20:18,2,2
620,2016-01-01 10:21:18,1,2
621,2016-01-01 10:22:18,1,2
622,2016-01-01 10:23:18,2,2
623,2016-01-01 10:24:18,2,2
624,2016-01-01 10:25:18,1,2
625,2016-01-01 10:26:18,1,2
626,2016-01-01 10:27:18,2,2
627,2016-01-01 10:28:18,2,2
628,2016-01-01 10:29:18,2,2
629,2016-01-01 10:30:18,2,2
630,2016-01-01 10:31:18,2,2
631,2016-01-01 10:32:18,2,2
632,2016-01-01 10:33:17,1,2
633,2016-01-01 10:34:16,2,2
634,2016-01-01 10:35:17,2,2
635,2016-01-01 10:36:17,2,2
636,2016-01-01 10:37:17,2,2
637,2016-01-01 10:38:17,2,2
638,2016-01-01 10:39:17,6,2
639,2016-01-01 10:40:17,2,2
640,2016-01-01 10:41:18,1,2
641,2016-01-01 10:42:18,2,2
642,2016-01-01 10:43:18,2,2
643,2016-01-01 10:44:18,2,2
644,2016-01-01 10:45:18,2,2
645,2016-01-01 10:46:18,2,2
646,2016-01-01 10:47:18,2,2
647,2016-01-01 10:48:18,2,2
648,2016-01-01 10:49:18,2,2
649,2016-01-01 10:50:18,1,2
650,2016-01-01 10:51:18,1,2
651,2016-01-01 10:52:18,2,2
652,2016-01-01 10:53:18,2,2
653,2016-01-01 10:54:18,2,2
654,2016-01-01 10:55:18,2,2
655,2016-01-01 10:56:18,2,2
656,2016-01-01 10:57:18,2,2
657,2016-01-01 10:58:18,2,2
658,2016-01-01 10:59:18,2,2
659,2016-01-01 11:00:17,1,2
660,2016-01-01 11:01:16,2,2
661,2016-01-01 11:02:16,2,2
662,2016-01-01 11:03:16,2,2
663,2016-01-01 11:04:16,2,2
664,2016-01-01 11:05:16,2,2
665,2016-01-01 11:06:16,1,2
666,2016-01-01 11:07:16,2,2
667,2016-01-01 11:08:16,2,2
668,2016-01-01 11:09:16,1,2
669,2016-01-01 11:10:17,1,2
670,2016-01-01 11:11:18,3,2
671,2016-01-01 11:12:18,2,2
672,2016-01-01 11:13:18,2,2
673,2016-01-01 11:14:18,2,2
674,2016-01-01 11:15:18,1,2
675,2016-01-01 11:16:18,1,2
676,2016-01-01 11:17:18,1,2
677,2016-01-01 11:18:18,2,2
678,2016-01-01 11:19:18,2,2
679,2016-01-01 11:20:18,2,2
680,2016-01-01 11:21:18,1,2
681,2016-01-01 11:22:18,3,2
682,2016-01-01 11:23:18,2,2
683,2016-01-01 11:24:18,2,2
684,2016-01-01 11:25:18,2,2
685,2016-01-01 11:26:18,1,2
686,2016-01-01 11:27:18,2,2
687,2016-01-01 11:28:18,2,2
688,2016-01-01 11:29:18,2,2
689,2016-01-01 11:30:18,2,2
690,2016-01-01 11:31:18,2,2
691,2016-01-01 11:32:18,1,2
692,2016-01-01 11:33:18,1,2
693,2016-01-01 11:34:18,2,2
694,2016-01-01 11:35:18,2,2
695,2016-01-01 11:36:18,2,2
696,2016-01-01 11:37:18,2,2
697,2016-01-01 11:38:17,1,2
698,2016-01-01 11:39:17,2,2
699,2016-01-01 11:40:17,2,2
700,2016-01-01 11:41:17,2,2
701,2016-01-01 11:42:17,2,2
702,2016-01-01 11:43:17,1,2
703,2016-01-01 11:44:17,2,2
704,2016-01-01 11:45:17,2,2
705,2016-01-01 11:46:17,2,2
706,2016-01-01 11:47:17,2,2
707,2016-01-01 11:48:17,2,2
708,2016-01-01 11:49:17,2,2
709,2016-01-01 11:50:17,2,2
710,2016-01-01 11:51:17,2,2
711,2016-01-01 11:52:17,1,2
712,2016-01-01 11:53:17,1,2
713,2016-01-01 11:54:17,4,2
714,2016-01-01 11:55:17,1,2
715,2016-01-01 11:56:17,1,2
716,2016-01-01 11:57:17,2,2
717,2016-01-01 11:58:17,2,2
718,2016-01-01 11:59:17,1,2
719,2016-01-01 12:00:17,2,2
720,2016-01-01 12:01:17,2,2
721,2016-01-01 12:02:17,2,2
722,2016-01-01 12:03:17,1,2
723,2016-01-01 12:04:17,2,2
724,2016-01-01 12:05:17,2,2
725,2016-01-01 12:06:17,1,2
726,2016-01-01 12:07:17,2,2
727,2016-01-01 12:08:17,2,2
728,2016-01-01 12:09:17,2,2
729,2016-01-01 12:10:17,2,2
730,2016-01-01 12:11:17,2,2
731,2016-01-01 12:12:17,2,2
732,2016-01-01 12:13:17,2,2
733,2016-01-01 12:14:17,2,2
